scientificName,Taxon,phylum,class
"Serpula hartmanae Reish, 1968",Serpula hartmanae,Annelida,Polychaeta
"Serpula watsoni Willey, 1905",Serpula watsoni,Annelida,Polychaeta
"Simplaria pseudomilitaris (Thiriot-Quievreux, 1965)",Simplaria pseudomilitaris,Annelida,Polychaeta
"Spirobranchus kraussii (Baird, 1865)",Spirobranchus kraussii,Annelida,Polychaeta
"Spirobranchus minutus (Rioja, 1941)",Spirobranchus minutus,Annelida,Polychaeta
"Spirobranchus tetraceros (Schmarda, 1861)",Spirobranchus tetraceros,Annelida,Polychaeta
"Spirorbis marioni Caullery & Mesnil, 1897",Spirorbis marioni,Annelida,Polychaeta
"Terebrasabella heterouncinata Fitzhugh & Rouse, 1999",Terebrasabella heterouncinata,Annelida,Polychaeta
"Boccardia polybranchia (Haswell, 1885)",Boccardia polybranchia,Annelida,Polychaeta
"Boccardia proboscidea Hartman, 1940",Boccardia proboscidea,Annelida,Polychaeta
"Boccardia pseudonatrix Day, 1961",Boccardia pseudonatrix,Annelida,Polychaeta
